"school_id","name","board","type","estd_year","city","state","email","principal_name","totalstudents","totalteachers","contact","revenue"
3,"SDS","ICSE","private",5678,"Lalitpur","Uttarpradesh","sds@gmail.com","Ramdas",5654,566,45454545,"560000000"
4,"Green Valley High","ICSE","Private",2001,"Indore","Madhya Pradesh","greenvalley@gmail.com","Rajesh Tiwari",950,38,987654,"560000000"
7,"Little Flower School","ICSE","Private",2000,"Nagpur","Maharashtra","littleflower@gmail.com","Manju Gupta",800,35,992255,"670000000"
1,"Rani Laxmmi Bai public School ","ICSE","private",1998,"Jhansi","Uttar pradesh","rani@hotmail.com","Anupam mishra",20000,800,765453456,"670000000"
5,"St. Xavier High School","CBSE","Private",1995,"Lucknow","Uttar Pradesh","stxavier@gmail.com","Anita Verma",1500,60,998877,"670000000"
6,"Delhi Public School","CBSE","Private",1985,"Delhi","Delhi","dps@gmail.com","Vikas Kumar",2500,110,985678,"670000000"
8,"Blue Bells High","State Board","Private",1999,"Jaipur","Rajasthan","bluebells@gmail.com","Rekha Sinha",900,40,987645,"670000000"
19,"Heritage School","ICSE","Private",1996,"Hyderabad","Telangana","heritage@gmail.com","Prakash Reddy",1500,62,981133,"160"
20,"National High School","State Board","Public",1975,"Ranchi","Jharkhand","national@gmail.com","Shobha Nair",2000,85,987899,"210"
21,"Carmel Convent","ICSE","Private",1980,"Gwalior","Madhya Pradesh","carmel@gmail.com","Rita Francis",1100,44,995516,"130"
22,"Sacred Heart School","CBSE","Private",1987,"Amritsar","Punjab","sacredheart@gmail.com","Jasleen Kaur",900,38,982890,"115"
23,"Sunbeam Academy","CBSE","Private",1993,"Varanasi","Uttar Pradesh","sunbeam@gmail.com","Manish Dubey",1400,60,987765,"145"
24,"Cambridge International","CBSE","Private",2007,"Ahmedabad","Gujarat","cambridge@gmail.com","Jignesh Patel",1800,72,97898,"190"
25,"Bal Bharati School","CBSE","Public",1982,"Delhi","Delhi","balbharati@gmail.com","Ravi Bansal",2300,98,965478,"250"
26,"DAV Public School","CBSE","Public",1986,"Patiala","Punjab","dav@gmail.com","Sushma Malhotra",1900,75,98234,"200"
27,"Aryan International","CBSE","Private",2008,"Dehradun","Uttarakhand","aryan.ddn@gmail.com","Nidhi Chauhan",800,35,98730,"90"
28,"St. Marys School","ICSE","Private",1990,"Thiruvananthapuram","Kerala","stmarys.tvm@gmail.com","Anita Kurian",1400,58,98450,"150"
69,"London Bridge Academy","CBSE","Private",2005,"London","England","londonbridge@gmail.com","Emma Watson",1500,60,12345,"180"
70,"Thames Valley School","ICSE","Private",1998,"London","England","thamesvalley@gmail.com","Oliver Smith",1300,55,23456,"160"
