"book_id","title","author","genre","published_year","price","stock"
1,"The Silent River","Ava Thompson","Mystery",2018,"399.99",12
2,"Echoes of Tomorrow","Liam Carter","Science Fiction",2020,"499.50",9
3,"Whispers in the Wind","Sophia Bennett","Romance",2016,"299.00",20
4,"Beneath the Crimson Sky","Noah Brooks","Historical Fiction",2019,"450.25",14
5,"Shadows of Eternity","Emma Clark","Fantasy",2021,"520.75",10
6,"Fragments of Light","Ethan Hughes","Drama",2015,"280.40",8
7,"The Iron Code","Olivia Cooper","Thriller",2022,"610.00",7
8,"Wings of Glass","Isabella Reed","Fantasy",2017,"470.10",18
9,"The Forgotten Realm","Mason Adams","Adventure",2019,"540.00",15
10,"Chronicles of Dawn","Charlotte Evans","Fantasy",2018,"320.75",25
11,"City of Broken Dreams","James Lewis","Drama",2020,"350.00",11
12,"The Stolen Horizon","Mia Turner","Adventure",2021,"499.99",9
13,"Through the Last Gate","Benjamin Price","Science Fiction",2019,"420.30",16
14,"The Violet Garden","Amelia Green","Romance",2014,"250.50",30
15,"The Painted Mirror","Logan Ward","Fantasy",2022,"620.75",6
16,"Edge of Nowhere","Ella Mitchell","Thriller",2017,"380.90",19
17,"Secrets of the Labyrinth","Lucas Hill","Mystery",2021,"510.45",8
18,"Ashes of the Empire","Harper Scott","Historical Fiction",2016,"450.00",14
19,"Dreamcatcher’s Oath","Henry Morgan","Fantasy",2019,"560.50",10
20,"Voices from the Deep","Evelyn James","Horror",2018,"390.00",12
21,"Tides of Destiny","Michael Gray","Adventure",2020,"470.20",7
22,"A Winter’s Promise","Grace Collins","Romance",2019,"320.00",22
23,"The Quantum Paradox","Jack Richardson","Science Fiction",2021,"650.75",5
24,"Beneath the Ice","Scarlett Ward","Thriller",2018,"410.90",13
25,"Fires of Redemption","Daniel Perry","Drama",2017,"360.00",18
26,"The Golden Compass","Ella Foster","Fantasy",2019,"490.25",10
27,"House of Secrets","Matthew Reed","Mystery",2015,"340.00",20
28,"Shattered Reflections","Abigail Gray","Psychological Fiction",2020,"420.00",15
29,"The Neon Horizon","Joseph Adams","Cyberpunk",2021,"550.90",6
30,"The Winter’s Crown","Victoria Hall","Historical Fiction",2016,"460.25",13
31,"The Lost City","Samuel Harris","Adventure",2018,"480.60",17
32,"Echoes of the Past","Lily Campbell","Drama",2019,"310.00",25
33,"Beyond the Stars","Owen Stewart","Science Fiction",2022,"720.00",8
34,"The Silent Guardian","Chloe Phillips","Thriller",2021,"590.50",11
35,"River of Dreams","Aiden Morris","Romance",2017,"330.75",19
36,"The Broken Spell","Sofia Jenkins","Fantasy",2018,"470.10",14
37,"Cursed by Fire","Jacob Carter","Fantasy",2019,"530.20",10
38,"The Haunting of Willow Lake","Layla Rogers","Horror",2016,"400.00",8
39,"The Infinite Circle","Ethan Howard","Science Fiction",2020,"640.00",7
40,"When the Stars Fade","Natalie Allen","Romance",2018,"290.00",23
41,"Darkness Rising","Isaac Turner","Horror",2019,"520.75",9
42,"The Red Horizon","Madison Young","Adventure",2020,"410.00",11
43,"Whispers of the Forest","Andrew Morris","Fantasy",2022,"590.25",8
44,"The Glass Tower","Avery Kelly","Thriller",2017,"360.90",17
45,"Into the Abyss","Ella Stewart","Horror",2019,"420.00",15
46,"Rise of the Fallen","David Morgan","Fantasy",2020,"550.30",10
47,"Ocean of Time","Amelia Hill","Science Fiction",2021,"680.75",6
48,"Winds of the West","Grace Adams","Historical Fiction",2018,"490.20",13
49,"The Night Circus","Arthur Hayes","Fantasy",2016,"440.00",19
50,"The Edge of Shadows","Mila Ross","Thriller",2022,"610.50",7
51,"Falling Skies","Carter Wright","Science Fiction",2018,"570.90",10
52,"Echo Valley","Zoe Campbell","Drama",2019,"310.25",22
53,"The Wandering Soul","Nathan Mitchell","Fantasy",2020,"460.50",12
54,"Blood and Ashes","Sienna Reed","Historical Fiction",2021,"490.75",8
55,"Voices in the Dark","Eli Parker","Horror",2019,"410.10",16
56,"Broken Chains","Ava Richardson","Drama",2020,"330.00",20
57,"The Hidden Fortress","Mason Bennett","Adventure",2017,"470.60",18
58,"City of Smoke","Ella Morris","Fantasy",2021,"590.00",10
59,"Firestorm","Daniel Collins","Thriller",2020,"550.90",9
60,"The Last Odyssey","Olivia Gray","Adventure",2019,"500.30",14
61,"Beneath the Moon","Liam Thompson","Romance",2018,"290.00",25
62,"Dreams of Tomorrow","Harper Adams","Science Fiction",2022,"690.00",7
63,"The Secret Heir","Sophia Carter","Fantasy",2020,"540.20",12
64,"Crimson Winter","Noah Scott","Thriller",2021,"610.50",8
65,"Under the Scarlet Sky","Mia Walker","Historical Fiction",2018,"480.25",13
66,"Shattered Skies","Benjamin Lewis","Science Fiction",2019,"670.10",6
67,"The Emerald Flame","Isabella Turner","Fantasy",2017,"450.90",18
68,"Heart of Shadows","Charlotte Morgan","Romance",2021,"320.00",21
69,"Echo Chamber","Ethan Evans","Drama",2019,"310.50",17
70,"Rise of the Machines","Jacob Perry","Science Fiction",2020,"720.00",8
71,"The Forgotten Path","Ava Gray","Adventure",2022,"510.40",9
72,"The Hollow Crown","Henry Bennett","Historical Fiction",2016,"460.25",15
73,"Dark Waters","Emma Scott","Thriller",2018,"380.75",10
74,"The Crystal Kingdom","Liam Cooper","Fantasy",2019,"490.10",13
75,"A Song of Fireflies","Grace Hughes","Romance",2017,"310.00",19
76,"The Hidden Truth","Lucas Allen","Mystery",2020,"420.00",11
77,"The Burning Sky","Mason Ross","Adventure",2018,"480.50",16
78,"The Silver Wolf","Sofia Jenkins","Fantasy",2019,"530.25",10
79,"Echoes of Silence","Nathan Turner","Drama",2020,"310.90",22
80,"The Clockwork Heart","Amelia Adams","Steampunk",2021,"610.00",8
81,"Under the Midnight Sun","Michael Brown","Historical Fiction",2018,"470.25",14
82,"Whispering Shadows","Avery Lewis","Thriller",2019,"400.00",12
83,"The Eternal Flame","Olivia Moore","Fantasy",2020,"520.10",9
84,"City of Illusions","James Ross","Science Fiction",2021,"680.90",7
85,"Ashes and Embers","Lily Thompson","Drama",2019,"320.25",17
86,"The Scarlet Blade","Benjamin Hughes","Historical Fiction",2022,"490.00",11
87,"Dawn of the Phoenix","Chloe Ward","Fantasy",2018,"560.75",9
88,"Fallen Kingdom","Logan Parker","Adventure",2020,"500.30",14
89,"The Darkened Path","Ella Mitchell","Thriller",2021,"610.40",10
90,"Winds of Time","Ava Scott","Fantasy",2019,"520.00",12
91,"The Vanishing Point","Daniel Ross","Mystery",2020,"440.75",16
92,"Ocean’s Whisper","Mia Adams","Romance",2022,"310.00",18
93,"Echo of the Storm","Henry Carter","Adventure",2020,"470.25",11
94,"The Lost Horizon","Sophia Green","Fantasy",2017,"530.10",13
95,"The Iron Throne","Noah Brooks","Historical Fiction",2018,"480.25",9
96,"The Silver Compass","Emma Foster","Adventure",2019,"510.00",15
97,"Shadows Over Avalon","Benjamin Hill","Fantasy",2021,"620.00",7
98,"The Dark Sun","Aiden Lewis","Science Fiction",2022,"700.25",8
99,"The Crimson Queen","Grace Evans","Fantasy",2020,"540.00",9
100,"The Lost Empire","Liam Allen","Adventure",2018,"490.25",14
101,"The Final Dawn","Olivia Scott","Science Fiction",2019,"680.00",7
102,"Moonlight Sonata","Charlotte Adams","Romance",2020,"320.50",23
103,"Journey to Oblivion","Ethan Perry","Adventure",2021,"510.00",9
104,"The Glass Kingdom","Isabella Turner","Fantasy",2022,"590.90",8
105,"Endless Sky","Jacob Gray","Science Fiction",2020,"670.00",7
